audio, image, foil, correct, sample, time, trigger, group, i_trial, block, response_time, subject
bet, pet, I, 1, 82665, 68.328, 1, 201, 11, B1, 1.91, WPM_02
beet, bat, V, 1, 86919, 71.844, 2, 201, 12, B1, 1.843, WPM_02
beard, beard, M, 0, 91114, 75.312, 4, 303, 13, B1, 1.939, WPM_02
pup, pup, M, 1, 95441, 78.888, 4, 203, 14, B1, 1.65, WPM_02
gong, bell, S, 1, 99414, 82.172, 3, 202, 15, B1, 2.131, WPM_02
dock, dock, M, 1, 103966, 85.935, 4, 203, 16, B1, 1.47, WPM_02
cop, cog, F, 1, 107693, 89.015, 1, 201, 17, B1, 1.539, WPM_02
pit, pit, M, 0, 111510, 92.17, 4, 303, 18, B1, 1.802, WPM_02
bit, pit, I, 0, 115613, 95.562, 1, 301, 19, B1, 1.867, WPM_02
pet, pet, M, 1, 119815, 99.035, 4, 203, 20, B1, 1.458, WPM_02
cape, cop, V, 1, 123545, 102.118, 2, 201, 21, B1, 1.639, WPM_02
park, park, M, 1, 127510, 105.395, 4, 203, 22, B1, 1.504, WPM_02
back, pack, I, 0, 131270, 108.503, 1, 301, 23, B1, 1.94, WPM_02
bean, bean, M, 1, 135581, 112.066, 4, 203, 24, B1, 1.771, WPM_02
cart, cart, M, 1, 139665, 115.442, 4, 203, 25, B1, 1.691, WPM_02
gate, gate, M, 1, 143609, 118.702, 4, 203, 26, B1, 1.758, WPM_02
can, cane, V, 1, 147701, 122.084, 2, 201, 27, B1, 1.821, WPM_02
pot, pot, M, 0, 151841, 125.506, 4, 303, 28, B1, 2.05, WPM_02
cat, cat, M, 1, 156295, 129.188, 4, 203, 29, B1, 1.529, WPM_02
card, card, M, 1, 160099, 132.332, 4, 203, 30, B1, 1.635, WPM_02
den, den, M, 0, 164036, 135.586, 4, 303, 31, B1, 2.033, WPM_02
pen, pen, M, 1, 168466, 139.248, 4, 203, 32, B1, 1.53, WPM_02
cane, crutch, S, 1, 172282, 142.402, 3, 202, 33, B1, 1.824, WPM_02
cup, cup, M, 1, 176441, 145.84, 4, 203, 34, B1, 1.859, WPM_02
dirt, stones, S, 1, 180649, 149.318, 3, 202, 35, B1, 2.269, WPM_02
bud, leaf, S, 1, 185305, 153.166, 3, 202, 36, B1, 1.731, WPM_02
gown, gown, M, 1, 189367, 156.524, 4, 203, 37, B1, 1.637, WPM_02
pop, pot, F, 1, 193303, 159.777, 1, 201, 38, B1, 2.089, WPM_02
bad, bag, F, 1, 197777, 163.475, 1, 201, 39, B1, 2.043, WPM_02
pad, pencil, S, 1, 202208, 167.138, 3, 202, 40, B1, 1.799, WPM_02
dot, dot, M, 1, 206346, 170.558, 4, 203, 41, B1, 1.689, WPM_02
kite, balloon, S, 1, 210347, 173.865, 3, 202, 42, B1, 1.598, WPM_02
keg, keg, M, 1, 214218, 177.065, 4, 203, 43, B1, 1.579, WPM_02
pod, pot, F, 1, 218096, 180.27, 1, 201, 44, B1, 1.706, WPM_02
tongue, tongue, M, 0, 222116, 183.593, 4, 303, 45, B1, 2.045, WPM_02
kick, tick, I, 1, 226543, 187.252, 1, 201, 46, B1, 1.777, WPM_02
bib, bib, M, 1, 230664, 190.658, 4, 203, 47, B1, 1.604, WPM_02
cod, cot, F, 0, 234573, 193.889, 1, 301, 48, B1, 1.699, WPM_02
book, newspaper, S, 1, 238604, 197.221, 3, 202, 49, B1, 1.63, WPM_02
bird, bird, M, 1, 242478, 200.423, 4, 203, 50, B1, 1.573, WPM_02
bid, bid, M, 1, 246343, 203.618, 4, 203, 51, B1, 2.072, WPM_02
tap, cap, I, 1, 250798, 207.3, 1, 201, 52, B1, 1.65, WPM_02
peak, peak, M, 1, 254764, 210.578, 4, 203, 53, B1, 1.945, WPM_02
time, time, M, 1, 259020, 214.096, 4, 203, 54, B1, 1.587, WPM_02
bite, beet, V, 1, 262912, 217.313, 2, 201, 55, B1, 1.815, WPM_02
bake, bite, V, 1, 267016, 220.705, 2, 201, 56, B1, 1.708, WPM_02
gum, gum, M, 1, 271041, 224.032, 4, 203, 57, B1, 1.64, WPM_02
barn, barn, M, 1, 274977, 227.286, 4, 203, 58, B1, 1.464, WPM_02
peg, peg, M, 0, 278681, 230.347, 4, 303, 59, B1, 2.001, WPM_02
beam, bean, F, 0, 283046, 233.955, 1, 301, 60, B1, 1.873, WPM_02
bug, bug, M, 1, 287303, 237.474, 4, 203, 61, B1, 1.757, WPM_02
pin, pin, M, 1, 291375, 240.84, 4, 203, 62, B1, 1.716, WPM_02
bone, bone, M, 1, 295391, 244.159, 4, 203, 63, B1, 1.854, WPM_02
tub, tub, M, 1, 299617, 247.652, 4, 203, 64, B1, 1.497, WPM_02
pick, puck, V, 1, 303405, 250.783, 2, 201, 65, B1, 2.049, WPM_02
cone, pyramid, S, 1, 307834, 254.444, 3, 202, 66, B1, 2.052, WPM_02
tag, tag, M, 1, 312283, 258.121, 4, 203, 67, B1, 1.992, WPM_02
dip, dip, M, 1, 316586, 261.678, 4, 203, 68, B1, 1.662, WPM_02
dine, dime, F, 1, 320563, 264.965, 1, 201, 69, B1, 1.859, WPM_02
buck, duck, I, 1, 324755, 268.43, 1, 201, 70, B1, 1.992, WPM_02
bed, bed, M, 1, 329125, 272.042, 4, 203, 71, B1, 1.505, WPM_02
palm, palm, M, 1, 332907, 275.168, 4, 203, 72, B1, 1.561, WPM_02
dime, dime, M, 1, 336751, 278.346, 4, 203, 73, B1, 1.79, WPM_02
big, pig, I, 1, 340887, 281.764, 1, 201, 74, B1, 1.768, WPM_02
